DATE,TIME,VISALBEDOCAL,SWIRALBEDOCAL,TIRALBEDOCAL,CAMTEMPERATURE,SWIRTEMPERATURE,AMBTEMPERATURE,EXTTEMPERATURE,WDS/PIX,HDRWDS,XTABXLATE,YTABXLATE,GXPOS,GYPOS,GXLGTH,GXNO.,GYLGTH,GYNO.,FXLGTH,FROMDEPTH,TODEPTH,DEPTHINTERVAL,TRAYTYPE,WVLSTART,WVLEND,TOPVIS,XSPEED,PIXRATE,PIXMM,TOTINTSEC/PIX,BASEHT,PROFILPOSOFFSMM,PROFILRATIO,CAMPOSOFFSMM,CAMXFOVMM,CAMYFOVMM,CAMREFEDGE,CAMHT,YINCRCORE,COREHT,YWIDTH,XSTEPSIZE,TWDSPIX,THDRWDS,TIROFFSMM,TRAYTIM,FFOFFS,FCONSTANT,FROFFS,SPEEDCAL,XACCEL,TWVLST,TWVLEND,CASEID,TRAYTYPE.1,FILENAME,EXECUTABLE,COMMENT,LOGGER,SPECSERNO,SWVERSION,TRAYNOTE
3/05/2019,3:31:10 PM,19479.3125,0.0226412,0.0566623,25.8284988,23.4560452,24.2084732,0.1005192,536,5,255.5,555,0,50,383,8,160,3,1,1,2,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4415.140137,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\05_May_2019\03May2019\TESTROCKS&2.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
7/05/2019,10:31:44 AM,19542.22461,0.0235901,0.0588916,21.289772,18.3343563,19.7336426,0.1122552,536,5,255.5,555,0,50,383,8,160,3,1,0,1,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4417.349121,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\05_May_2019\07May2019\TESTROCKS&1.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
7/05/2019,5:50:52 PM,19506.44531,0.0246326,0.0580928,22.5471249,20.28895,21.156559,0.1078233,536,5,255.5,555,0,50,383,8,160,3,1,1,2,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4424.491699,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\05_May_2019\07May2019\TESTROCKS&2.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
8/05/2019,9:47:40 AM,19531.85547,0.0234361,0.0594931,21.2007084,17.9338284,19.6698914,0.1126369,536,5,255.5,555,0,50,383,8,160,3,1,0,1,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4425.076172,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\05_May_2019\08May2019\TESTROCKS&1.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
8/05/2019,5:01:23 PM,19507.79297,0.0248774,0.0580215,22.4259357,20.1960583,21.0180569,0.1010339,536,5,255.5,555,0,50,383,8,160,3,1,1,2,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4432.240723,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\05_May_2019\08May2019\TESTROCKS&2.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
10/05/2019,11:48:51 AM,19714.38086,0.0219051,0.0604598,19.3354988,16.3122711,18.0039806,0.1035083,536,5,255.5,555,0,50,383,8,160,3,1,0,1,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4432.60791,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\05_May_2019\10May2019\TESTROCKS&1.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
10/05/2019,2:40:25 PM,19856.08008,0.0250429,0.0583826,22.4463482,19.8609962,20.8538284,0.1154808,536,5,255.5,555,0,50,383,8,160,3,1,1,2,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4435.466797,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\05_May_2019\10May2019\TESTROCKS&2.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
14/05/2019,9:45:17 AM,19705.49414,0.0232667,0.0598494,20.863575,17.5255756,19.3812542,0.1074088,536,5,255.5,555,0,50,383,8,160,3,1,0,1,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4436.108887,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\05_May_2019\14May2019\TESTROCKS&1.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
14/05/2019,5:13:38 PM,19689.53125,0.025083,0.0579093,22.806675,20.47966,21.3586197,0.0967558,536,5,255.5,555,0,50,383,8,160,3,1,1,2,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4443.578125,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\05_May_2019\14May2019\TESTROCKS&2.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
17/05/2019,2:18:45 PM,19416.4082,0.0240878,0.0577755,23.2528286,20.7562828,21.7383728,0.1043344,536,5,255.5,555,0,50,383,8,160,3,1,0,1,0.004,65,380,2500,1032,48,12,4,0.084,30,100,64,-100,6.5,120,112,800,80,45,260,25,410,10,200,4449.190918,1.5,-1.5,-5.1999998,1.025,300,6000,14500,TESTROCKS ,TestRocks_puc ,D:\TestRocks\MRT Test Rocks 2019\05_May_2019\17May2019\TESTROCKS&1.SDS ,C:\HyLog3Exes\HyLog3CoreTIR7_3_74A.exe\SWIFTTable66absc.vi , ,23,26,7.3.74 , 
