HyLogger,Scan_Date,Dataset_file,6245_mean,6245_stddev,6698_mean,6698_stddev,8661_mean,8661_stddev,9353_mean,9353_stddev,9724_mean,9724_stddev,11028_mean,11028_stddev,11875_mean,11875_stddev,13228_mean,13228_stddev,samples
HyLogger 3-2,2021-07-12 15:38:35,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-July2021-2021_07_12-TestRockspm_1_tsgtray_tir,6246.99,0.299842,6698.75,0.349373,8654.5,1.38284,9347.09,0.911631,9724.06,1.03307,11013.9,0.970884,11871,1.73751,13200,63.2456,7
HyLogger 3-2,2021-07-13 15:42:09,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-July2021-2021_07_13-TestRockspm_1_tsgtray_tir,6246.98,0.562616,6698.7,0.3957,8654.46,0.803956,9346.86,1.28596,9724.08,0.957364,11013.7,0.724004,11871.2,0.676353,13153.1,54.3904,7
HyLogger 3-2,2021-07-16 15:31:31,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-July2021-2021_07_16-TestRockspm_1_tsgtray_tir,6246.93,1.06996,6698.74,0.930601,8654.44,0.485153,9346.88,0.766492,9723.99,0.939483,11013.8,0.227422,11871.6,1.42117,13142.5,52.7559,7
HyLogger 3-2,2021-07-19 15:44:52,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-July2021-2021_07_19-TestRockspm_1_tsgtray_tir,6246.97,0.989673,6698.74,0.673572,8654.46,0.788906,9347.01,0.269643,9723.96,1.13684,11013.8,0.917006,11871.3,0.760443,13176.8,75.5112,7
HyLogger 3-2,2021-07-20 14:26:52,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-July2021-2021_07_20-Test1_2_tsgtray_tir,6246.77,0.330704,6698.49,0.46071,8654.04,0.83051,9346.67,0.977293,9723.5,0.642608,11013.8,0.525207,11871.8,1.10986,13282.1,73.2119,7
HyLogger 3-2,2021-07-20 15:04:13,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-July2021-2021_07_20-Test1_3_tsgtray_tir,6246.7,0.31853,6698.57,0.804216,8654.33,0.986929,9346.98,0.897537,9723.72,0.422748,11013.4,1.34038,11871.8,1.78298,13146.4,50.3963,7
HyLogger 3-2,2021-07-22 15:42:22,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-July2021-2021_07_22-TestRockspm_1_tsgtray_tir,6246.94,0.446875,6698.71,0.0457331,8654.37,0.28143,9346.75,0.519659,9723.97,1.38839,11013.8,0.685504,11871.3,1.61906,13171.4,48.795,7
HyLogger 3-2,2021-07-23 15:41:38,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-July2021-2021_07_23-TestRockspm_1_tsgtray_tir,6246.93,0.838267,6698.68,0.627074,8654.39,0.970933,9347.08,1.58217,9723.85,0.673244,11013.6,0.430293,11871.9,1.37681,13185.7,37.7964,7
HyLogger 3-2,2021-07-26 15:20:21,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-July2021-2021_07_26-TestRockspm_1_tsgtray_tir,6246.98,0.339722,6698.64,0.176951,8654.2,1.01866,9347.1,1.03719,9724.21,1.24692,11013.5,1.19539,11871.8,1.399,13185.7,37.7964,7
HyLogger 3-2,2021-07-27 15:25:24,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-July2021-2021_07_27-TestRockspm_1_tsgtray_tir,6246.97,0.781551,6698.62,0.55095,8654.46,1.57218,9347.11,0.539832,9724.05,0.914703,11013.8,0.643682,11871.8,1.33314,13205.4,69.175,7
HyLogger 3-2,2021-07-29 15:42:42,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-July2021-2021_07_29-TestRockspm_1_tsgtray_tir,6246.83,0.906444,6698.74,0.686147,8654.37,0.942159,9347.31,1.00309,9724.04,0.368656,11013.7,1.0147,11871.3,1.63497,13142.5,52.7559,7
