HyLogger,Scan_Date,Dataset_file,Mylar_1128.7,Mylar_1659.9,Mylar_1904.6,Mylar_2130.8,Mylar_2255.3,Mylar_2331.0,Mylar_2444.5,Pyro_ 951.0,Pyro_1235.0,Pyro_1394.0,Pyro_2082.0,Pyro_2168.0,Pyro_2322.0,Kaolin_1414.0,Kaolin_1913.0,Kaolin_2209.0,Talc_ 729.0,Talc_ 950.0,Talc_1279.0,Talc_1393.0,Talc_1532.0,Talc_2013.0,Talc_2132.0,Talc_2230.0,Talc_2313.0,Talc_2391.0,Talc_2467.0
HyLogger 3-5,2021-04-29 08:48:22,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210429-TestRocks_4_tsgtray,1130.5,1659.7,1906.9,2131.0,2255.4,2331.8,2444.5, 952.4,1232.8,1393.3,   0.0,2166.6,2321.3,1414.3,1911.8,2207.8,   0.0, 951.3,   0.0,1392.1,1531.9,2012.2,2132.7,2228.6,   0.0,2387.7,2466.8
HyLogger 3-5,2021-05-04 08:33:20,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210504-TestRocks_1_tsgtray,   0.0,1659.7,1907.0,2131.0,2254.6,2331.8,2444.4, 952.3,1232.5,1393.3,   0.0,2166.5,2321.0,1414.2,1913.2,2207.9,   0.0, 951.2,   0.0,1392.1,1531.9,2012.1,2131.6,2228.6,2310.6,2387.9,2466.8
HyLogger 3-5,2021-05-04 08:38:27,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210504-TestRocks_2_tsgtray,1130.3,1659.7,1907.2,2131.0,2255.2,2331.2,2444.6, 952.3,1232.5,1393.2,2078.6,2166.4,2321.4,1414.3,1914.4,2208.0,   0.0, 951.2,   0.0,1392.1,1531.9,2012.2,2131.5,2228.6,   0.0,2387.9,2466.8
HyLogger 3-5,2021-05-04 11:44:25,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210504-TestRocks_3_tsgtray,1130.6,1659.9,1906.9,2131.1,2255.7,2331.7,2444.4, 952.4,1232.6,1393.3,2078.4,2166.6,2320.5,1414.2,1915.0,2208.1,   0.0, 951.3,   0.0,1392.1,1531.8,2012.1,2131.6,2228.6,   0.0,2387.6,2466.8
HyLogger 3-5,2021-05-04 11:46:40,C:\Lingbo\IanLau\runtsg\working\2021_Mar26_May04-20210504-TestRocks_4_tsgtray,1130.6,1659.7,1906.7,2131.0,2255.3,2331.9,2444.3, 952.1,1232.4,1393.3,2078.1,2166.5,2321.2,1414.3,1916.1,2207.9,   0.0,   0.0,   0.0,1392.1,1531.8,2012.2,2131.6,2228.6,   0.0,2387.8,2466.8
HyLogger 3-3,2021-09-28 09:39:15,C:\Lingbo\IanLau\runtsg\working\28September2021-TestrocksAM280921_1_tsgtray,1130.8,1660.7,1907.4,2131.9,2255.4,2332.3,2445.5, 952.3,1233.6,1394.5,2081.9,2167.5,2322.0,1415.2,1914.7,2208.6,   0.0, 951.2,1277.2,1392.6,1532.4,2012.9,2132.1,2231.5,2318.1,2388.9,2466.8
HyLogger 3-6,2021-09-30 10:47:36,C:\Lingbo\IanLau\runtsg\working\30Sep2021-TESTROCKS_1_tsgtray,1129.9,1659.7,1906.1,2131.1,2251.6,2331.5,2444.5, 951.6,1232.4,1393.2,2080.2,2166.1,2319.0,1413.8,1902.9,2208.1,   0.0, 949.2,   0.0,1392.1,1531.8,2012.0,2131.4,2230.1,   0.0,2387.1,2466.9
HyLogger 3-6,2021-09-30 16:42:48,C:\Lingbo\IanLau\runtsg\working\30Sep2021-TESTROCKS_2_tsgtray,1130.0,1659.7,1906.1,2131.1,2251.6,2331.5,2444.5, 951.0,1232.5,1393.2,2079.7,2166.1,2319.5,1413.9,1903.8,2208.1,   0.0, 949.0,   0.0,1392.1,1531.8,2011.9,2131.4,2230.0,   0.0,2386.7,2467.0
HyLogger 3-2,2021-08-02 15:41:28,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_02-TestRockspm_1_tsgtray,1130.2,1659.9,1907.2,2131.2,2255.7,2331.7,2444.5,   0.0,1235.0,   0.0,   0.0,2156.8,   0.0,1414.5,1916.4,2207.4,   0.0,   0.0,1276.4,1392.2,1531.9,2011.9,2132.5,2229.3,   0.0,2387.9,2466.8
HyLogger 3-2,2021-08-02 08:03:22,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_02-TestRocks_1_tsgtray,1130.4,1659.9,1907.1,2131.2,2255.8,2331.6,2444.5, 952.4,1232.7,1393.7,   0.0,2163.4,   0.0,1414.5,1915.5,2207.4,   0.0,   0.0,   0.0,1392.2,1531.9,2011.9,2132.5,2229.3,   0.0,2388.0,2466.8
